DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7278930,1,1,2,1,2,1,300000,2,,2,,2,2,108,30,1,20,20,26.7187394008191
7278939,1,1,1,2,,2,,2,,,,2,2,53,38,1,20,20,28.5529107432386
7278951,1,2,1,2,,1,,2,,,,2,2,999,998,1,20,20,35.2625038827355
7278957,1,1,1,1,2,1,910000,2,,2,,2,2,2,45,1,20,20,22.3364287249123
7278962,1,4,1,1,2,1,180000,2,,2,,2,2,11,32,1,20,20,27.9147899872032
7278972,1,2,1,1,2,1,0,2,,2,,2,2,28,24,1,20,20,16.0450528892175
7278972,1,2,1,2,,1,,2,,,,2,2,84,36,1,20,20,16.0450528892175
7278978,1,2,1,2,,1,,2,,,,2,2,120,29,1,20,20,25.7586370550751
7278995,1,2,1,2,,1,,2,,,,2,2,121,36,1,25,"",143.200248141653
7278996,1,2,1,1,2,1,1000000,2,,2,,2,2,3,30,1,25,"",103.416692809057
7279030,1,1,2,1,2,1,1200000,2,,2,,2,2,122,35,1,27,27,6.66539024163192
7279030,1,1,4,1,2,1,700000,2,,2,,2,2,36,28,1,27,27,6.66539024163192
7279030,1,1,3,1,2,2,800000,2,,2,,2,2,48,32,1,27,27,6.66539024163192
7279030,1,1,6,1,2,1,700000,2,,2,,2,2,72,23,1,27,27,6.66539024163192
7279030,1,1,1,1,2,1,1800000,2,,2,,2,2,120,40,1,27,27,6.66539024163192
7279030,1,1,5,1,2,1,700000,2,,2,,2,2,48,24,1,27,27,6.66539024163192
7279090,1,2,1,1,1,1,400000,2,,2,,2,2,62,46,1,27,27,8.40508576534748
7279188,1,3,1,1,2,1,600000,2,,2,,2,2,4,34,1,44,44,10.6114699498385
7279243,1,1,3,1,2,1,1500000,2,,2,,2,2,18,45,1,44,44,8.04516532773554
7279243,1,1,1,1,2,1,1500000,2,,2,,2,2,18,35,1,44,44,8.04516532773554
7279243,1,1,4,1,2,1,1500000,2,,2,,2,2,18,38,1,44,44,8.04516532773554
7279243,1,1,2,1,2,1,1500000,2,,2,,2,2,18,40,1,44,44,8.04516532773554
7279248,1,1,1,3,,1,,2,,,,2,2,60,33,1,44,44,5.29833992918838
7279277,1,1,1,1,2,1,1000000,2,,2,,2,2,8,38,1,44,44,7.17323628318836
7279277,1,1,2,1,2,1,1000000,2,,2,,2,2,8,45,1,44,44,7.17323628318836
7279296,1,1,2,3,,2,,2,,,,2,2,24,22,1,44,44,4.44581158119577
7279296,1,1,1,3,,2,,2,,,,2,2,36,28,1,44,44,4.44581158119577
7279333,1,2,1,3,,2,,2,,,,2,2,60,68,1,50,50,15.1258285551755
7279335,1,1,1,1,2,1,250000,2,,2,,2,2,2,19,1,50,50,20.167326302887
7279335,1,1,2,1,2,1,350000,2,,2,,2,2,3,22,1,50,50,20.167326302887
7279366,1,1,1,2,,2,,2,,,,2,2,241,45,1,50,50,14.2840523979031
7279399,1,1,2,1,2,1,600000,2,,2,,2,2,12,99,1,50,50,13.7769368383029
7279399,1,1,1,1,2,2,520000,2,,2,,2,2,24,99,1,50,50,13.7769368383029
7279402,1,1,1,1,2,1,180000,2,,2,,2,2,1,31,1,50,50,24.1425015530446
7279405,1,2,1,1,2,1,500000,2,,2,,2,2,4,37,1,50,50,20.9828603948976
7279414,1,4,1,1,1,2,900000,2,,2,,2,2,73,43,1,50,50,14.743419624986
7279414,1,4,2,1,1,2,750000,2,,2,,2,2,2,24,1,50,50,14.743419624986
7279424,1,2,1,2,,1,,2,,,,2,2,37,29,1,50,50,30.8168892253079
7279431,1,1,1,1,1,1,300000,2,,2,,2,2,3,18,1,50,50,26.3372744215031
7279457,1,1,1,3,,1,,2,,,,2,2,12,15,1,50,50,9.97710631610782
7279457,1,1,2,3,,1,,2,,,,2,2,96,23,1,50,50,9.97710631610782
7279458,1,1,1,3,,2,,2,,,,2,2,144,49,1,50,50,12.442719824696
7279470,1,1,1,2,,2,,2,,,,2,2,12,48,1,52,"",36.8765457430663
7279489,1,1,1,1,2,2,400000,2,,2,,2,2,24,25,1,52,"",74.041223897245
7279491,1,1,1,2,,2,,2,,,,2,2,36,31,1,52,"",53.5885265974078
7279537,1,1,5,1,2,2,3000000,1,235750,2,,1,2,28,34,1,52,52,11.9830584048808
7279537,1,1,1,1,2,2,2200000,1,235750,2,,1,2,60,30,1,52,52,11.9830584048808
7279537,1,1,3,1,2,2,3000000,1,235750,2,,1,2,84,40,1,52,52,11.9830584048808
7279537,1,1,7,1,2,1,3300000,1,235750,2,,1,2,60,37,1,52,52,11.9830584048808
7279537,1,1,6,1,2,1,3000000,1,235750,2,,1,2,84,40,1,52,52,11.9830584048808
7279537,1,1,2,1,2,2,3000000,1,235750,2,,1,2,36,35,1,52,52,11.9830584048808
7279537,1,1,4,1,2,2,3300000,1,235750,2,,1,2,48,28,1,52,52,11.9830584048808
7279537,1,1,8,1,2,1,3300000,1,235750,2,,1,2,48,39,1,52,52,11.9830584048808
7279602,1,3,1,1,2,2,800000,2,,2,,2,2,7,40,1,52,52,21.1083929646647
7279602,1,3,2,1,2,2,800000,2,,2,,2,2,7,32,1,52,52,21.1083929646647
7279613,1,1,1,1,1,2,400000,2,,2,,2,2,108,60,1,52,52,19.4423104725092
7279685,1,1,1,1,2,2,1002321,2,,2,,2,2,132,54,1,54,54,25.7498465202898
7279685,1,1,2,1,2,2,1002321,2,,2,,2,2,132,28,1,54,54,25.7498465202898
7279709,1,1,2,1,2,2,35000,2,,2,,2,2,60,52,1,54,54,21.5193199710578
7279709,1,1,1,1,2,2,35000,2,,2,,2,2,144,72,1,54,54,21.5193199710578
7279896,1,2,1,1,1,1,1235000,1,321825,1,500000,1,2,60,42,1,63,63,21.2948688613958
7279896,1,2,2,1,2,1,1235000,1,321825,1,500000,1,2,24,30,1,63,63,21.2948688613958
7279990,1,1,1,2,,2,,2,,,,2,2,24,26,1,63,63,16.808510328151
7279998,1,1,2,1,1,1,1200000,2,,2,,2,2,24,30,1,63,63,23.6613732382965
7279998,1,1,1,1,1,2,1200000,2,,2,,2,2,24,28,1,63,63,23.6613732382965
7280029,1,1,1,3,,2,,2,,,,2,2,240,57,1,66,66,20.6508446703955
7280159,1,2,1,1,1,1,900000,2,,2,,2,2,50,39,1,66,66,52.5570779907287
7280253,1,1,1,3,,2,,2,,,,2,2,24,40,1,68,"",54.1936673672975
7280322,1,1,1,1,2,2,1300000,2,,2,,2,2,3,45,1,68,68,32.3234238032857
7280324,1,1,1,1,1,2,1300000,1,331000,2,,1,1,36,35,1,68,68,31.945122649311
